time(s)|altitude(km)
0|0
1|0.26
2|0.26
3|0.27
4|0.27
5|0.26
6|0.24
7|0.27
8|0.36
9|0.49
10|0.61
11|0.71
12|0.79
13|0.84
14|0.91
15|1.1
16|1.44
17|1.8
18|2
19|2.08
20|2.15
21|2.24
22|2.34
23|2.45
24|2.55
25|2.63
26|2.7
27|2.79
28|2.93
29|3.12
30|3.32
31|3.48
32|3.58
33|3.66
34|3.75
35|3.9
36|4.17
37|4.58
38|5.08
39|5.57
40|6
41|6.36
42|6.68
43|6.97
44|7.25
45|7.51
46|7.78
47|8.08
48|8.44
49|8.84
50|9.21
51|9.51
52|9.78
53|10.07
54|10.4
55|10.8
56|11.26
57|11.77
58|12.23
59|12.6
60|12.89
61|13.13
62|13.41
63|13.76
64|14.22
65|14.71
66|15.18
67|15.57
68|15.92
69|16.33
70|16.86
71|17.46
72|17.99
73|18.43
74|18.86
75|19.32
76|19.77
77|20.22
78|20.68
79|21.18
80|21.75
81|22.41
82|23.11
83|23.77
84|24.34
85|24.9
86|25.53
87|26.22
88|26.94
89|27.64
90|28.28
91|28.87
92|29.43
93|29.97
94|30.51
95|31.12
96|31.82
97|32.51
98|33.09
99|33.63
100|34.22
101|34.94
102|35.78
103|36.67
104|37.51
105|38.25
106|38.92
107|39.56
108|40.22
109|40.96
110|41.79
111|42.57
112|43.21
113|43.75
114|44.29
115|45.01
116|46.11
117|47.26
118|48.08
119|48.71
120|49.33
121|50.02
122|50.72
123|51.41
124|52.09
125|52.77
126|53.45
127|54.13
128|54.81
129|55.5
130|56.19
131|56.85
132|57.43
133|57.96
134|58.61
135|59.55
136|60.69
137|61.6
138|62.17
139|62.72
140|63.4
141|64.3
142|65.3
143|66.29
144|67.24
145|68
146|68.58
147|69.13
148|69.79
149|70.6
150|71.53
151|72.5
152|73.31
153|73.9
154|74.43
155|75.11
156|75.94
157|76.81
158|77.65
159|78.35
160|78.9
161|79.46
162|80.2
163|81.03
164|81.79
165|82.45
166|83.15
167|83.95
168|84.75
169|85.48
170|86.14
171|86.81
172|87.53
173|88.26
174|88.95
175|89.55
176|90.05
177|90.49
178|90.99
179|91.61
180|92.31
181|93.01
182|93.69
183|94.34
184|94.97
185|95.56
186|96.09
