time(s)|velocity(m/s)
0|0.0
1|1.6
2.95|17.8
4.91|37
6.86|54
8.81|71.2
10.76|88.9
12.72|104.7
14.67|118.7
16.62|141.4
18.58|155.6
20.53|170.6
22.48|188.1
24.43|207.2
26.39|220.4
28.34|230.3
30.29|248.7
32.25|262
34.2|275.1
36.15|288.2
38.1|302.9
40.06|320.4
42.01|334.8
43.96|348.2
45.92|368.3
47.87|389.5
49.82|407.1
51.77|429.2
53.73|451.8
55.68|469
57.63|494.7
59.59|518.5
61.54|540.1
63.49|562
65.45|586.2
67.4|618
69.35|663.2
71.3|690.6
73.26|729.4
75.21|774.2
77.16|818.6
79.12|862.7
81.07|906.5
83.02|966.5
84.97|1011.4
86.93|1052
88.88|1096.9
90.83|1169
92.79|1230.5
94.74|1293.5
96.69|1341.2
98.64|1407.9
100.6|1481.1
102.55|1527.7
104.5|1570.1
106.46|1597
108.41|1621.7
110.36|1651.3
112.31|1687.5
114.27|1711.1
116.22|1742.9
118.17|1771.1
120.13|1813.7
122.08|1850.1
124.03|1881.1
125.98|1915
127.94|1949.3
129.89|1998.9
131.84|2032.5
133.8|2077.9
135.75|2129.6
137.7|2166.6
139.65|2194.6
141.61|2237.9
143.56|2299.3
145.51|2352.1
147.47|2403.5
149.42|2431.4
151.37|2448.2
153.32|2457.5
155.28|2460.7
157.23|2472.5
159.18|2487.9
161.14|2502.2
163.09|2525.7
165.04|2558.3
166.99|2588.4
168.95|2609
170.9|2628.9
172.85|2656.2
174.81|2677.5
176.76|2699.7
178.71|2722
180.66|2743.8
182.62|2766.6
184.57|2788.5
186.52|2806.1
188.48|2831.6
190.43|2866.7
192.38|2902.1
194.34|2935.7
196.29|2963.4
198.24|2990.1
200.19|3016.1
202.15|3047.1
204.1|3080.6
206.05|3114.6
208.01|3142.1
209.96|3184.4
211.91|3218.1
213.86|3258
215.82|3289.6
217.77|3316.4
219.72|3349.1
221.68|3387.3
223.63|3427.3
225.58|3457.6
227.53|3509.4
229.49|3541.7
