time|altitude
0|0
1.52|0.157
2|0.159
3|0.159
4|0.155
5|0.153
6|0.168
7|0.173
8|0.111
9|0.031
10|-0.032
11|-0.06
12|-0.026
13|0.122
14|0.507
15|0.996
16|1.246
17|1.348
18|1.439
19|1.601
20|1.847
21|2.123
22|2.35
23|2.482
24|2.58
25|2.694
26|2.83
27|2.98
28|3.14
29|3.312
30|3.495
31|3.697
32|3.918
33|4.148
34|4.373
35|4.599
36|4.834
37|5.09
38|5.39
39|5.724
40|6.026
41|6.269
42|6.477
43|6.678
44|6.888
45|7.127
46|7.425
47|7.802
48|8.246
49|8.697
50|9.082
51|9.374
52|9.584
53|9.757
54|9.926
55|10.134
56|10.503
57|11.108
58|11.623
59|12.051
60|12.461
61|12.884
62|13.347
63|13.846
64|14.361
65|14.85
66|15.277
67|15.646
68|15.986
69|16.315
70|16.646
71|16.985
72|17.341
73|17.715
74|18.111
75|18.531
76|18.977
77|19.454
78|19.968
79|20.528
80|21.134
81|21.769
82|22.413
83|23.049
84|23.66
85|24.224
86|24.729
87|25.216
88|25.733
89|26.283
90|26.85
91|27.423
92|27.991
93|28.54
94|29.054
95|29.559
96|30.174
97|31.031
98|32.021
99|32.919
100|33.636
101|34.229
102|34.752
103|35.238
104|35.716
105|36.217
106|36.775
107|37.437
108|38.233
109|39.145
110|40.121
111|41.052
112|41.8
113|42.387
114|43.011
115|43.836
116|44.879
117|45.916
118|46.692
119|47.274
120|47.931
121|48.789
122|49.786
123|50.868
124|51.986
125|53.013
126|53.855
127|54.565
128|55.235
129|55.925
130|56.71
131|57.612
132|58.47
133|59.172
134|59.815
135|60.494
136|61.3
137|62.204
138|63.043
139|63.729
140|64.418
141|65.295
142|66.362
143|67.362
144|68.133
145|68.768
146|69.415
147|70.228
148|71.216
149|72.149
150|72.875
151|73.473
152|74.021
153|74.582
154|75.183
155|75.833
156|76.527
157|77.242
158|77.949
159|78.621
160|79.238
161|79.831
162|80.462
163|81.175
164|81.932
165|82.679
166|83.374
167|84.038
168|84.709
169|85.437
170|86.187
171|86.856
172|87.398
173|87.873
174|88.333
175|88.817
176|89.349
177|89.957
178|90.686
179|91.45
180|92.087
181|92.583
182|93.034
183|93.51
