time|altitude
0|0.0
1|0.2
2|0.2
3|0.3
4|0.3
5|0.3
6|0.3
7|0.3
8|0.4
9|0.4
10|0.5
11|0.5
12|0.6
13|0.7
14|0.8
15|1.0
16|1.1
17|1.2
18|1.4
19|1.5
20|1.7
21|1.8
22|2.0
23|2.0
24|2.3
25|2.5
26|2.7
27|2.9
28|3.1
29|3.3
30|3.0
31|3.8
32|4.0
33|4.2
34|4.4
35|4.7
36|4.9
37|5.0
38|5.4
39|5.7
40|6.0
41|6.3
42|6.6
43|7.0
44|7.3
45|7.7
46|8.0
47|8.4
48|8.8
49|9.2
50|9.0
51|9.9
52|10.3
53|10.7
54|11.1
55|11.5
56|11.9
57|12.3
58|12.0
59|13.2
60|13.0
61|14.1
62|14.6
63|15.0
64|15.5
65|15.9
66|16.4
67|16.9
68|17.3
69|17.8
70|18.2
71|18.7
72|19.0
73|19.6
74|20.1
75|20.0
76|21.0
77|21.0
78|22.1
79|22.0
80|23.4
81|24.0
82|24.9
83|25.6
84|26.2
85|26.8
86|27.4
87|28.0
88|28.6
89|29.2
90|29.0
91|30.5
92|31.1
93|31.8
94|32.5
95|33.2
96|34.0
97|35.0
98|36.0
99|37.0
100|37.9
101|38.8
102|39.6
103|40.4
104|41.1
105|41.8
106|42.5
107|43.4
108|44.0
109|45.2
110|46.1
111|47.1
112|48.2
113|49.2
114|50.2
115|51.0
116|52.3
117|53.3
118|54.3
119|55.1
120|55.9
121|56.7
122|57.5
123|58.3
124|59.0
125|60.2
126|61.2
127|62.1
128|63.1
129|64.0
130|65.0
131|65.9
132|66.8
133|67.9
134|69.1
135|70.1
136|70.9
137|71.6
138|72.4
139|73.2
140|74.0
141|74.7
142|75.5
143|76.0
144|77.1
145|78.1
146|79.1
147|80.1
148|81.0
149|81.7
150|82.4
151|83.0
152|83.0
153|84.4
154|85.2
155|86.1
156|86.9
157|87.7
158|88.5
159|89.3
160|90.2
161|91.1
162|91.8
163|92.4
164|93.1
165|93.8
166|94.6
167|95.5
168|96.4
169|97.3
170|98.1
171|98.8
172|99.5
173|100.1
174|100.8
175|101.5
176|102.3
177|103.0
178|104.0
179|104.8
180|105.5
181|106.2
182|106.8
183|107.5
184|108.1
185|108.7
186|109.3
187|109.9
188|110.6
189|111.3
190|111.9
191|112.6
192|113.2
193|113.9
194|114.5
195|115.1
196|115.8
197|116.0
198|117.0
199|117.9
200|118.6
201|119.0
202|120.1
203|120.8
204|121.4
205|122.0
206|122.5
207|123.0
208|123.5
209|124.0
210|124.6
211|125.0
212|125.7
213|126.3
214|127.0
215|127.6
216|128.3
217|129.0
218|129.0
219|130.3
220|130.0
221|131.4
222|131.9
223|132.5
224|133.0
225|133.5
226|134.0
227|134.6
228|135.2
229|135.8
230|136.5
231|137.0
232|137.8
233|138.4
234|139.0
235|139.5
236|140.0
237|140.5
238|141.0
239|141.6
240|142.1
241|142.7
242|143.2
243|143.7
244|144.2
245|144.6
246|145.1
247|145.6
248|146.1
249|146.7
250|147.3
251|147.9
252|148.5
253|149.1
254|149.0
255|150.2
256|150.6
257|151.1
258|151.6
259|152.1
260|152.6
261|153.2
262|153.7
263|154.3
264|154.8
265|155.4
266|155.9
267|156.0
268|157.0
269|157.5
270|158.1
271|158.6
272|159.1
273|159.6
274|160.1
275|160.6
276|161.1
277|161.5
278|162.0
279|162.4
280|162.8
281|163.2
282|163.7
283|164.2
284|164.6
285|165.1
286|165.6
287|166.0
288|166.5
289|166.9
290|167.4
291|167.0
292|168.3
293|168.8
294|169.3
295|169.8
296|170.4
297|171.0
298|171.6
299|172.2
300|172.7
301|173.2
302|173.7
303|174.0
304|174.6
305|175.1
306|175.5
307|176.0
308|176.0
309|176.9
310|177.4
311|177.8
312|178.3
313|178.7
314|179.2
315|179.7
316|180.2
317|180.7
318|181.2
319|181.0
320|182.1
321|182.6
322|183.1
323|183.5
324|183.9
