time|velocity
0|0.0
1|7.0
2|12.0
3|17.0
4|24.0
5|31.0
6|39.0
7|47.0
8|56.0
9|64.0
10|72.0
11|80.0
12|88.0
13|96.0
14|100.0
15|112.0
16|121.0
17|131.0
18|142.0
19|150.0
20|167.0
21|170.0
22|189.0
23|199.0
24|208.0
25|217.0
26|225.0
27|233.0
28|240.0
29|250.0
30|259.0
31|269.0
32|280.0
33|290.0
34|299.0
35|305.0
36|310.0
37|313.0
38|317.0
39|321.0
40|325.0
41|330.0
42|337.0
43|344.0
44|352.0
45|361.0
46|369.0
47|370.0
48|386.0
49|394.0
50|402.0
51|410.0
52|418.0
53|420.0
54|433.0
55|441.0
56|450.0
57|458.0
58|467.0
59|477.0
60|487.0
61|497.0
62|508.0
63|519.0
64|530.0
65|541.0
66|553.0
67|564.0
68|577.0
69|589.0
70|603.0
71|617.0
72|631.0
73|647.0
74|663.0
75|681.0
76|699.0
77|717.0
78|735.0
79|750.0
80|768.0
81|784.0
82|802.0
83|821.0
84|840.0
85|864.0
86|887.0
87|911.0
88|936.0
89|960.0
90|985.0
91|1008.9999999999999
92|1032.0
93|1056.0
94|1079.0
95|1100.0
96|1129.0
97|1155.0
98|1182.0
99|1210.0
100|1238.0
101|1266.0
102|1294.0
103|1322.0
104|1350.0
105|1377.0
106|1402.0
107|1424.0
108|1443.0
109|1400.0
110|1475.0
111|1489.0
112|1504.0
113|1521.0
114|1538.0
115|1556.0
116|1571.0
117|1583.0
118|1590.0
119|1594.0
120|1596.0
121|1597.0
122|1597.0
123|1598.0
124|1600.0
125|1603.0
126|1606.0
127|1609.0
128|1613.0
129|1616.0
130|1620.0
131|1620.0
132|1627.0
133|1631.0
134|1630.0
135|1639.0
136|1643.0
137|1640.0
138|1654.0
139|1660.0
140|1667.0
141|1674.0
142|1680.0
143|1689.0
144|1696.0
145|1704.0
146|1711.0
147|1718.0
148|1725.0
149|1732.0
150|1700.0
151|1747.0
152|1754.0
153|1761.0
154|1768.0
155|1775.0
156|1782.0
157|1788.0
158|1794.0
159|1801.0
160|1807.0
161|1814.0
162|1822.0
163|1830.0
164|1839.0
165|1800.0
166|1860.0
167|1872.0
168|1883.0
169|1893.0
170|1902.0
171|1911.0
172|1918.0
173|1926.0
174|1933.0
175|1941.0
176|1949.0
177|1957.0
178|1965.0
179|1974.0
180|1983.0
181|1990.0
182|2001.9999999999998
183|2013.0
184|2023.0000000000002
185|2033.9999999999998
186|2040.0
187|2050.0
188|2067.0
189|2078.0
190|2087.0
191|2090.0
192|2105.0
193|2114.0
194|2123.0
195|2132.0
196|2143.0
197|2155.0
198|2169.0
199|2183.0
200|2198.0
201|2211.0
202|2224.0
203|2235.0
204|2247.0
205|2258.0
206|2270.0
207|2280.0
208|2296.0
209|2311.0
