time|altitude
0|0
1|1.05
2|1.42
3|1.6
4|1.74
5|1.86
6|2.01
7|2.27
8|2.74
9|3.14
10|3.39
11|3.6
12|3.83
13|4.15
14|4.65
15|5.23
16|5.54
17|5.63
18|5.62
19|5.58
20|5.54
21|5.61
22|5.99
23|6.31
24|6.46
25|6.59
26|6.75
27|6.99
28|7.34
29|7.73
30|8.1
31|8.34
32|8.43
33|8.45
34|8.49
35|8.68
36|9.11
37|9.73
38|10.36
39|10.87
40|11.23
41|11.51
42|11.78
43|12.07
44|12.47
45|13
46|13.72
47|14.67
48|15.74
49|16.38
50|16.64
51|16.78
52|16.96
53|17.23
54|17.59
55|18.01
56|18.43
57|18.84
58|19.28
59|19.86
60|20.58
61|21.32
62|21.93
63|22.39
64|22.78
65|23.15
66|23.62
67|24.28
68|25.06
69|25.87
70|26.69
71|27.55
72|28.4
73|29.18
74|29.86
75|30.47
76|31.07
77|31.71
78|32.47
79|33.32
80|34.16
81|34.98
82|35.8
83|36.63
84|37.46
85|38.27
86|39.04
87|39.76
88|40.47
89|41.2
90|41.96
91|42.77
92|43.63
93|44.54
94|45.48
95|46.42
96|47.35
97|48.28
98|49.21
99|50.13
100|51.06
101|51.99
102|52.92
103|53.85
104|54.77
105|55.7
106|56.65
107|57.59
108|58.51
109|59.39
110|60.22
111|61
112|61.74
113|62.5
114|63.36
115|64.43
116|65.67
117|66.86
118|67.87
119|68.78
120|69.63
121|70.44
122|71.06
123|71.47
124|71.79
125|72.12
126|72.55
127|73.2
128|74.15
129|75.25
130|76.18
131|77.09
132|78.06
133|78.93
134|79.57
135|79.96
136|80.26
137|80.59
138|81.13
139|82.13
140|83.34
141|84.22
142|84.83
143|85.37
144|85.99
145|86.76
146|87.62
147|88.5
148|89.33
149|90.07
150|90.74
151|91.33
152|91.89
153|92.43
154|92.99
155|93.6
156|94.24
157|94.86
158|95.42
159|95.91
160|96.36
161|96.79
162|97.23
163|97.69
164|98.23
165|98.93
166|99.74
167|100.42
168|100.86
169|101.11
170|101.31
171|101.54
172|101.88
173|102.41
174|103.09
175|103.8
176|104.41
177|104.93
178|105.39
179|105.82
180|106.24
181|106.73
182|107.35
183|108.06
184|108.78
185|109.44
186|110.01
187|110.49
188|110.84
189|111.1
190|111.37
191|111.76
192|112.32
193|112.95
194|113.58
195|114.14
196|114.56
197|114.85
198|115.07
199|115.29
200|115.59
201|115.92
202|116.24
203|116.49
204|116.71
205|116.95
206|117.23
207|117.6
208|118.08
209|118.65
210|119.27
211|119.87
212|120.35
213|120.69
214|120.98
215|121.27
216|121.65
217|122.17
218|122.75
219|123.25
220|123.69
221|124.07
222|124.38
223|124.62
224|124.8
225|124.97
226|125.15
227|125.34
228|125.55
229|125.78
230|126.07
231|126.45
232|126.95
233|127.51
234|128.02
235|128.47
236|128.86
237|129.2
238|129.53
239|129.93
240|130.42
241|130.9
242|131.3
243|131.58
244|131.76
245|131.89
246|131.99
247|132.08
248|132.16
249|132.24
250|132.32
251|132.43
252|132.63
253|132.99
254|133.56
255|134.08
256|134.32
257|134.28
258|134.11
259|133.89
260|133.7
261|133.64
262|133.89
263|134.51
264|135.16
265|135.57
266|135.77
267|135.86
268|135.86
269|135.77
270|135.59
271|135.33
272|135.11
273|135.04
274|135.18
275|135.46
276|135.86
277|136.36
278|137.03
279|137.78
280|138.26
281|138.44
282|138.5
283|138.51
284|138.53
285|138.54
286|138.54
287|138.51
288|138.43
289|138.32
290|138.2
291|138.08
292|137.98
293|137.9
294|137.84
295|137.83
296|137.84
297|137.86
298|137.84
299|137.74
300|137.58
301|137.47
302|137.46
303|137.5
304|137.53
305|137.55
306|137.55
307|137.5
308|137.33
309|137.14
310|137.1
311|137.11
312|137.2
313|137.34
314|137.49
315|137.49
316|137.3
317|137.11
318|136.95
319|136.86
320|136.83
321|136.88
322|136.99
323|137.11
324|137.19
325|137.09
326|136.87
327|136.89
328|137.06
329|137.2
330|137.27
331|137.27
332|137.22
333|137.12
334|137
335|136.88
336|136.8
337|136.77
338|136.79
339|136.87
340|137
341|137.16
342|137.35
343|137.55
344|137.73
345|137.87
346|137.92
347|137.87
348|137.78
349|137.67
350|137.59
351|137.56
352|137.59
353|137.67
354|137.8
355|138.01
356|138.29
357|138.53
358|138.65
359|138.68
360|138.67
361|138.65
362|138.62
363|138.61
364|138.64
365|138.73
366|138.92
367|139.3
368|139.79
369|140.2
370|140.47
371|140.62
372|140.74
373|140.86
374|141.06
375|141.46
376|142.09
377|142.62
378|142.93
379|143.1
380|143.13
381|143.05
382|142.92
383|142.8
384|142.86
385|143.14
386|143.52
387|143.88
388|144.19
389|144.47
390|144.68
391|144.82
392|144.88
393|144.87
394|144.85
395|144.86
396|144.91
397|145.03
398|145.21
399|145.47
400|145.85
401|146.31
402|146.73
403|147.06
404|147.28
405|147.44
406|147.56
407|147.65
408|147.71
409|147.75
410|147.74
411|147.69
412|147.58
413|147.49
414|147.49
415|147.68
416|148.08
417|148.58
418|149.05
419|149.39
420|149.53
421|149.52
422|149.45
423|149.41
424|149.51
425|149.76
426|150.02
427|150.15
428|150.18
429|150.15
430|150.12
431|150.12
432|150.17
433|150.31
434|150.55
435|150.94
436|151.5
437|152.12
438|152.68
439|153.12
440|153.46
441|153.75
442|153.99
443|154.21
444|154.42
445|154.59
446|154.67
447|154.62
448|154.46
449|154.28
450|154.19
451|154.26
452|154.56
453|155.03
454|155.57
455|156.1
456|156.54
457|156.88
458|157.16
459|157.42
460|157.73
461|158.16
462|158.66
463|159.04
464|159.22
465|159.27
466|159.3
467|159.37
468|159.51
469|159.76
470|160.07
471|160.41
472|160.71
473|160.92
474|161
475|160.97
476|160.9
477|160.88
478|160.93
479|161.05
480|161.21
481|161.42
482|161.67
483|161.94
484|162.23
485|162.51
486|162.77
487|162.99
488|163.16
489|163.29
490|163.4
491|163.54
492|163.72
493|163.93
494|164.18
495|164.43
496|164.7
497|164.97
498|165.24
499|165.47
500|165.64
501|165.75
502|165.82
503|165.88
504|165.94
505|166.01
506|166.08
507|166.17
508|166.28
509|166.42
510|166.58
511|166.78
512|167.02
513|167.27
514|167.52
515|167.74
516|167.91
517|168.06
518|168.19
519|168.32
520|168.46
521|168.68
522|169.02
523|169.43
524|169.8
525|170.13
526|170.44
527|170.73
528|171.01
529|171.27
530|171.52
531|171.75
532|171.95
533|172.1
534|172.2
535|172.28
536|172.4
537|172.54
538|172.69
539|172.84
540|172.98
541|173.11
542|173.22
543|173.31
544|173.38
545|173.47
546|173.56
547|173.64
548|173.71
549|173.77
550|173.81
551|173.86
552|173.92
553|174.02
554|174.21
555|174.57
556|174.98
557|175.27
558|175.49
559|175.68
560|175.88
561|176.1
562|176.36
563|176.67
564|177
565|177.33
566|177.62
567|177.84
568|178.01
569|178.15
570|178.28
571|178.42
572|178.58
573|178.78
574|179.09
575|179.58
576|180.05
577|180.34
578|180.54
579|180.68
580|180.75
581|180.76
582|180.73
583|180.69
584|180.67
585|180.68
586|180.75
587|180.86
588|180.97
589|181.07
590|181.14
591|181.21
592|181.29
593|181.41
594|181.66
595|182.03
596|182.27
597|182.45
598|182.62
599|182.8
600|183.02
601|183.26
602|183.45
603|183.57
604|183.62
605|183.62
606|183.56
607|183.41
608|183.25
609|183.2
610|183.43
611|184
612|184.73
613|185.4
614|185.92
615|186.27
616|186.46
617|186.53
618|186.54
619|186.49
620|186.41
621|186.33
622|186.28
623|186.36
624|186.61
625|186.88
626|187.09
627|187.25
628|187.4
629|187.54
630|187.67
631|187.79
632|187.92
633|188.04
634|188.18
635|188.32
636|188.48
637|188.66
638|188.85
639|189.05
640|189.29
641|189.54
642|189.81
643|190.1
644|190.38
645|190.67
646|190.96
647|191.25
648|191.52
649|191.78
650|192.01
651|192.19
652|192.33
653|192.44
654|192.58
655|192.75
656|192.93
657|193.11
658|193.3
659|193.47
660|193.63
661|193.76
662|193.89
663|194.08
664|194.34
665|194.63
666|194.94
667|195.23
668|195.51
669|195.75
670|195.95
671|196.07
672|196.12
673|196.1
674|196.04
675|196
676|196.02
677|196.17
678|196.42
679|196.73
680|197.05
681|197.34
682|197.57
683|197.75
684|197.88
685|197.98
686|198.05
687|198.1
688|198.13
689|198.14
690|198.15
691|198.18
692|198.23
693|198.35
694|198.58
695|199.01
696|199.54
697|199.97
698|200.28
699|200.49
700|200.65
701|200.78
702|200.91
703|201.02
704|201.14
705|201.28
706|201.46
707|201.69
708|201.95
709|202.22
710|202.46
711|202.67
712|202.86
713|203.05
714|203.24
715|203.44
716|203.64
717|203.84
718|204.02
719|204.19
720|204.33
721|204.44
722|204.54
723|204.62
724|204.7
725|204.78
726|204.87
727|204.97
728|205.09
729|205.26
730|205.45
731|205.68
732|205.9
733|206.1
734|206.26
735|206.4
736|206.54
737|206.7
738|206.9
739|207.15
740|207.47
741|207.86
742|208.27
743|208.68
744|209.05
745|209.33
746|209.54
747|209.68
748|209.78
749|209.85
750|209.91
751|209.97
752|210.04
753|210.13
754|210.25
755|210.38
756|210.54
757|210.72
758|210.92
759|211.14
760|211.35
761|211.57
762|211.78
763|211.98
764|212.16
765|212.31
766|212.44
767|212.55
768|212.67
769|212.8
770|212.94
771|213.09
772|213.23
773|213.36
774|213.46
775|213.53
776|213.59
777|213.65
778|213.71
779|213.79
780|213.91
781|214.07
782|214.27
783|214.47
784|214.68
785|214.86
786|215.02
787|215.13
788|215.21
789|215.24
790|215.24
791|215.22
792|215.19
793|215.17
794|215.17
795|215.23
796|215.36
797|215.58
798|215.88
799|216.22
800|216.58
801|216.94
802|217.26
803|217.53
804|217.77
805|217.96
806|218.13
807|218.28
808|218.41
809|218.55
810|218.68
811|218.83
812|218.99
813|219.17
814|219.36
815|219.56
816|219.75
817|219.93
818|220.11
819|220.27
820|220.43
821|220.58
822|220.74
823|220.91
824|221.09
825|221.3
826|221.51
827|221.72
828|221.91
829|222.07
830|222.18
831|222.24
832|222.27
833|222.31
834|222.38
835|222.53
836|222.79
837|223.15
838|223.6
839|224.09
840|224.57
841|225.05
842|225.5
843|225.93
844|226.33
845|226.7
846|227.03
847|227.33
848|227.62
849|227.89
850|228.16
851|228.43
852|228.71
853|228.99
854|229.26
855|229.5
856|229.7
857|229.87
858|230.01
859|230.14
860|230.28
861|230.42
862|230.59
863|230.79
864|231.05
865|231.37
866|231.72
867|232.06
868|232.37
869|232.62
870|232.81
871|232.96
872|233.09
873|233.22
874|233.36
875|233.52
876|233.72
877|233.95
878|234.22
879|234.51
880|234.81
881|235.11
882|235.4
883|235.67
884|235.93
885|236.16
886|236.38
887|236.58
888|236.78
889|236.96
890|237.14
891|237.33
892|237.54
893|237.79
894|238.07
895|238.38
896|238.72
897|239.08
898|239.45
899|239.82
900|240.2
901|240.58
902|240.95
903|241.32
904|241.67
905|242.02
906|242.34
907|242.65
908|242.95
909|243.23
910|243.49
911|243.76
912|244.02
913|244.3
914|244.6
915|244.94
916|245.35
917|245.8
918|246.28
919|246.72
920|247.09
921|247.36
922|247.55
923|247.71
924|247.86
925|248.03
926|248.23
927|248.48
928|248.75
929|249.07
930|249.42
931|249.8
932|250.23
933|250.72
934|251.24
935|251.78
936|252.29
937|252.72
938|253.06
939|253.33
940|253.56
941|253.79
942|254.04
943|254.31
944|254.6
945|254.91
946|255.24
947|255.6
948|255.97
949|256.38
950|256.83
951|257.32
952|257.85
953|258.41
954|258.99
955|259.55
956|260.09
957|260.58
958|261.02
959|261.38
960|261.68
961|261.93
962|262.17
963|262.43
964|262.74
965|263.16
966|263.71
967|264.38
968|265.1
969|265.79
970|266.36
971|266.79
972|267.13
973|267.43
974|267.75
975|268.11
976|268.53
977|269
978|269.49
979|269.99
980|270.48
981|270.96
982|271.44
983|271.93
984|272.45
985|273.03
986|273.65
987|274.3
988|274.93
989|275.52
990|276.05
991|276.54
992|277.01
993|277.5
994|278.03
995|278.61
996|279.24
997|279.88
998|280.52
999|281.12
1000|281.66
1001|282.16
1002|282.62
1003|283.05
1004|283.47
1005|283.91
1006|284.39
1007|284.94
1008|285.56
1009|286.23
1010|286.87
1011|287.46
1012|287.95
1013|288.4
1014|288.83
1015|289.3
1016|289.91
1017|290.93
1018|292.76
1019|294.26
1020|295.3
1021|296.12
1022|296.75
1023|297.21
1024|297.56
1025|297.96
1026|298.47
1027|299.07
1028|299.69
1029|300.3
1030|300.88
1031|301.43
1032|302
1033|302.63
1034|303.41
1035|304.39
1036|305.33
1037|306.04
1038|306.69
1039|307.42
1040|308.29
1041|309.19
