time|velocity
0|0.0
2|41.9
4|49.4
6|61.6
7|81.3
9|104.7
10|108.6
11|122.6
13|139.4
15|159.3
17|177.9
18|198.5
20|227.6
22|252.2
23|264.9
24|279.0
25|299.7
26|305.4
28|329.2
29|365.7
30|372.1
31|393.9
33|434.9
35|462.4
37|496.7
39|522.4
41|553.2
42|594.8
43|598.6
44|637.9
46|671.6
48|694.2
49|720.2
50|728.5
51|751.5
52|759.1
53|789.7
54|801.3
55|843.8
56|859.2
57|871.1
59|902.3
61|931.1
62|956.5
63|988.6
65|1020.3
66|1050.5
67|1053.8
68|1093.5
69|1123.3
70|1143.3
71|1154.6
72|1176.2
73|1189.4
74|1226.5
75|1255.4
76|1277.3
77|1317.9
78|1328.3
79|1364.4
80|1384.0
81|1403.0
82|1425.7
83|1447.8
84|1463.9
85|1489.2
87|1527.2
88|1557.7
89|1578.8
90|1642.7
91|1672.4
92|1724.6
93|1741.9
94|1774.0
95|1801.0
96|1835.2
97|1877.5
98|1898.9
100|1944.8
101|1992.8
102|2002.6
103|2033.3
105|2048.3
106|2051.2
107|2053.2
109|2055.0
111|2059.0
112|2061.6
113|2064.8
114|2071.3
115|2072.1
116|2077.7
118|2086.6
120|2101.5
121|2106.8
122|2113.7
123|2124.2
124|2128.2
125|2151.3
126|2155.5
127|2166.5
129|2185.7
131|2209.8
133|2220.8
134|2228.5
135|2233.6
136|2256.3
137|2258.5
138|2278.3
139|2284.1
140|2295.8
142|2318.2
144|2345.7
146|2366.5
147|2374.4
148|2390.0
149|2422.1
151|2451.4
153|2472.8
154|2478.7
155|2497.7
156|2513.4
157|2519.3
159|2535.7
160|2544.7
161|2555.3
162|2581.1
164|2603.6
165|2610.7
166|2623.0
168|2643.3
170|2667.6
172|2697.9
173|2728.9
175|2752.8
177|2771.0
178|2777.5
179|2813.7
181|2843.2
183|2878.1
184|2906.1
185|2907.7
186|2926.8
187|2930.5
188|2959.2
190|2978.3
192|3030.9
194|3069.1
195|3100.7
196|3108.3
197|3154.9
198|3156.3
199|3181.9
