time|altitude
1.52|0.157
2|0.159
12|1.027
22|2.35
32|3.918
42|6.478
52|9.585
62|13.347
72|17.341
82|22.413
92|27.991
102|34.752
112|41.8
122|49.788
132|58.47
142|66.362
152|74.021
162|80.463
172|87.398
182|93.034
192|98.69
202|104.209
212|109.281
222|113.475
232|118.164
242|122.642
252|126.786
262|130.915
272|134.778
282|138.719
292|144.178
302|149.321
312|154.66
322|159.478
332|165.233
342|170.236
352|175.09
362|179.767
372|184.007
382|187.834
392|191.085
402|193.691
412|196.777
422|199.799
432|202.119
442|204.171
452|205.962
462|207.591
472|209.061
482|210.404
492|211.784
502|212.253
512|213.031
522|213.235
532|213.443
542|213.432
552|213.417
562|213.269
572|212.198
582|212.394
592|211.44
602|210.626
612|209.521
622|209.354
632|207.668
642|207.173
652|205.64
662|204.302
672|203.535
682|201.911
692|200.56
702|198.743
712|197.657
722|196.324
732|195.052
742|193.375
752|192.198
762|191.052
772|189.666
782|188.898
792|187.245
802|186.973
812|185.64
822|184.561
832|184.396
842|183.878
852|183.168
862|182.702
872|182.549
882|183.367
892|184.014
902|184.237
912|185.086
922|186.122
932|187.697
942|189.426
952|190.567
962|193.404
972|196.135
982|199.525
991.41|203.107
