time|velocity
1.17|38.5
2|41.2
12|102.6
22|185.2
32|276
42|313.9
52|384.3
62|450.9
72|573.2
82|712.2
92|906.9
102|1153.8
112|1331.8
122|1536.4
132|1622
142|1659.5
152|1734.9
162|1802.4
172|1872.7
182|1985.9
192|2067.3
202|2170
212|2282.1
222|2406.6
232|2545.8
242|2676.1
252|2820.4
262|2986.1
272|3163.1
282|3323
292|3538
302|3749.6
312|4010.9
322|4150.1
332|4168.8
342|4205.7
352|4227.5
362|4265.5
372|4313.5
382|4350.6
392|4386.7
402|4434
412|4473.2
422|4513.1
432|4562.6
442|4596.4
452|4647.8
462|4685.7
472|4729.2
482|4788.8
492|4850.7
502|4898.7
512|4943.6
522|5007.7
532|5068.6
542|5122.5
552|5163.4
562|5240.5
572|5297.1
582|5358.5
592|5413.6
602|5480.3
612|5550.1
622|5616.5
632|5687.6
642|5771
652|5835.7
662|5911.5
672|5969.8
682|6068.9
692|6141.8
702|6227.2
712|6303.7
722|6388.8
732|6482.8
742|6566.7
752|6656
762|6759.7
772|6850.5
782|6958.7
792|7052.3
802|7154.8
812|7265.3
822|7375.5
832|7487.3
842|7605.6
852|7727.9
862|7838.6
872|7959.2
882|8096.9
892|8237.8
902|8361.7
912|8504.5
922|8663.3
932|8802.3
942|8954.4
952|9118.7
962|9278.5
972|9464.6
982|9645.2
992|9801
1002|9814.7
1005.71|9802.9
